0,0.8009,0.801168,0.801168
0.1,135.543,135.527,135.527
0.2,278.675,278.649,278.649
0.3,402.02,401.982,401.982
0.4,537.031,536.972,536.972
0.5,720.004,719.933,719.933
0.6,819.697,819.63,819.63
0.7,945.442,945.386,945.386
0.8,1102.26,1102.18,1102.18
0.9,1204.33,1204.22,1204.22
1,1378.64,1378.55,1378.55
0,0.0471735,0.0228023,0.0139022
0.1,8.40045,5.8644,1.21787
0.2,16.9398,11.8268,2.45197
0.3,25.278,17.3785,3.67331
0.4,33.7427,23.2969,4.87727
0.5,42.234,29.4982,6.06432
0.6,50.7753,34.7076,7.40175
0.7,58.4541,39.9803,8.46823
0.8,67.5511,46.8232,9.8336
0.9,75.7999,53.3019,11.0007
1,84.4014,58.2415,12.192
0,0.0038744,0.00109131,0.00109131
0.1,6.28983,1.00985,1.00985
0.2,12.622,2.04997,2.04997
0.3,18.982,3.08744,3.08744
0.4,25.3285,4.15485,4.15485
0.5,31.1539,4.9862,4.9862
0.6,38.1753,6.14834,6.14834
0.7,44.1223,7.21759,7.21759
0.8,50.2674,8.24189,8.24189
0.9,56.6334,9.19843,9.19843
1,63.0657,10.1803,10.1803
