4,1,0.0106417,0.00973566,0.00931811,0.00787927,0.00520489
4,2,0.0172516,0.0151982,0.0153448,0.0117864,0.00529801
4,3,0.020137,0.0210517,0.0218244,0.0155469,0.00536168
4,4,0.0319701,0.0273295,0.0289965,0.0193992,0.0054979
4,5,0.0371684,0.0334423,0.0359518,0.0229546,0.00548198
4,6,0.0552928,0.0405996,0.0448195,0.0266879,0.00558341
4,7,0.0635405,0.0481607,0.0544084,0.0305684,0.00560892
8,1,0.0206136,0.0241028,0.0240862,0.0198794,0.00997603
8,2,0.035322,0.0393707,0.0400965,0.0297733,0.0102228
8,3,0.0411266,0.055998,0.0583095,0.0389896,0.0102459
8,4,0.067472,0.0763068,0.081883,0.0486226,0.0103292
8,5,0.0784502,0.0990647,0.107967,0.0582128,0.0104027
8,6,0.121235,0.125409,0.139091,0.0683794,0.0105024
8,7,0.137331,0.15679,0.17389,0.0781637,0.0105457
16,1,0.0404738,0.0714081,0.0668147,0.054649,0.0195222
16,2,0.0709664,0.12493,0.117557,0.0821462,0.0197233
16,3,0.0829842,0.195755,0.184806,0.110016,0.0199102
16,4,0.137222,0.288729,0.273834,0.138601,0.0200512
16,5,0.16257,0.423638,0.40056,0.169076,0.0204276
16,6,0.250408,0.571457,0.55183,0.197797,0.0204734
16,7,0.286299,0.775304,0.732057,0.228598,0.0207221
24,1,0.0606876,0.15149,0.128906,0.104828,0.0290444
24,2,0.106801,0.294139,0.23971,0.158571,0.0293816
24,3,0.124936,0.506235,0.395309,0.21292,0.0294977
24,4,0.208576,0.784003,0.614469,0.270973,0.0298649
24,5,0.248194,1.22727,0.993448,0.338792,0.031276
24,6,0.38847,1.72536,1.40714,0.406104,0.0308936
24,7,0.45791,2.35267,1.95529,0.472886,0.0317358
