0,0,0
0.1,4435.47,4434.39
0.2,8883.18,8880.25
0.3,13385.4,13380.3
0.4,17915.1,17910.1
0.5,22771.3,22764.4
0.6,26982.9,26975.8
0.7,30099,30089.4
0.8,36933.1,36920.5
0.9,41045.2,41029.2
1,46150.7,46134.6
0,0,0
0.1,1019.08,17.3674
0.2,2039.57,34.7806
0.3,3037.41,51.114
0.4,4080.07,68.3877
0.5,5102.68,85.6099
0.6,6315.45,105.507
0.7,7216.45,120.546
0.8,8665.4,140.405
0.9,9163.52,153.618
1,10090.1,167.511
0,0,0
0.1,4072.05,33.5971
0.2,8313.17,68.5689
0.3,12462.9,103.739
0.4,16474.1,136.467
0.5,20567.4,172.206
0.6,24025.8,201.01
0.7,27632.4,236.476
0.8,33092.5,278.444
0.9,36920.4,306.424
1,41278.3,339.07
