0,965.532,905.393
0.1,18576.7,18157
0.2,37081.3,36270.7
0.3,56055.3,54845.7
0.4,73595.2,71915.4
0.5,92496.1,90418.1
0.6,111313,108906
0.7,127578,124667
0.8,148021,144807
0.9,169564,166005
1,184582,180420
0,789.856,58.6878
0.1,5784.04,102.104
0.2,11460.9,171.57
0.3,16946.4,248.018
0.4,22915.7,319.848
0.5,28481.5,399.855
0.6,33839.9,476.868
0.7,39440.9,552.946
0.8,45690.5,640.057
0.9,50691.2,718.041
1,57078.7,805.585
0,403.941,15.684
0.1,7449.75,54.0413
0.2,14770.8,104.202
0.3,22398.6,154.786
0.4,29627.6,204.722
0.5,37146.2,256.915
0.6,44758.7,308.485
0.7,51746.4,362.62
0.8,59172.9,407.567
0.9,66662.9,458.764
1,74050.5,508.92
