2,0.000771394,0.000771394
4,0.00179818,0.00179818
6,0.00253209,0.00253209
8,0.00310488,0.00310488
12,0.00420796,0.00420796
16,0.00546533,0.00546533
20,0.00698965,0.00698965
24,0.00896522,0.00896522
